id,value
root-kepler186f,
root-kepler186f.上海远大医疗集团,
root-kepler186f.上海远大医疗集团.上海远大心胸医院,1
root-kepler186f.上海远大医疗集团.上海仁爱医院,1
root-kepler186f.上海远大医疗集团.上海天大医疗美容医院,1
root-kepler186f.上海远大医疗集团.上海沪申五官科医院,1
root-kepler186f.刘亚勇,
root-kepler186f.刘亚勇.武汉当代佳丽医院,1
root-kepler186f.刘亚勇.沈阳曙光男科医院,1
root-kepler186f.刘亚勇.泰州市海陵医院,1
root-kepler186f.刘亚勇.江西吉安市第二人民医院,1
root-kepler186f.刘亚勇.武警陕西总队医院,1
root-kepler186f.刘亚勇.吉林总队医院,1
root-kepler186f.刘亚勇.解放军411医院,1
root-kepler186f.刘亚勇.解放军534医院,1
root-kepler186f.刘亚勇.解放军422医院(武警辽宁总队医院),1
root-kepler186f.刘亚勇.广州458医院,1
root-kepler186f.刘亚勇.武警山西总队医院,1
root-kepler186f.刘亚勇.河南省军区医院,1
root-kepler186f.刘亚勇.湖北荣军医院,1
root-kepler186f.卓国华-玛丽亚医疗投资集团,
root-kepler186f.卓国华-玛丽亚医疗投资集团.成都玛利亚妇产医院,1
root-kepler186f.卓国华-玛丽亚医疗投资集团.成都欧亚男科医院,1
root-kepler186f.卓国华-玛丽亚医疗投资集团.成都玛丽亚（南区）天府国际妇产儿童医院,1
root-kepler186f.卓国华-玛丽亚医疗投资集团.成都市西区医院产科,1
root-kepler186f.卓国华-玛丽亚医疗投资集团.绵阳玛丽亚妇产儿童医院,1
root-kepler186f.卓国华-玛丽亚医疗投资集团.成都新世纪肛肠医院,1
root-kepler186f.陈国森-江苏博润投资公司,
root-kepler186f.陈国森-江苏博润投资公司.成都博润白癜风医院,1
root-kepler186f.陈国森-江苏博润投资公司.成都西南骨科医院,1
root-kepler186f.黄开飞-上海邦泰医疗集团,
root-kepler186f.黄开飞-上海邦泰医疗集团.武警四川省消防总队医院（妇科/泌尿科）,1
root-kepler186f.陈金章-上海鑫玺源投资集团,
root-kepler186f.陈金章-上海鑫玺源投资集团.成都仁品耳鼻喉专科医院,1
root-kepler186f.卓国华,
root-kepler186f.卓国华.成都玛利亚妇产医院,1
root-kepler186f.卓国华.宁波欧亚男科医院,1
root-kepler186f.卓国华.成都欧亚男科医院,1
root-kepler186f.卓国华.宁波甬城医院,1
root-kepler186f.卓国华.嘉兴博爱医院,1
root-kepler186f.江苏盛世同进集团,
root-kepler186f.江苏盛世同进集团.南京曙光医院,1
root-kepler186f.江苏盛世同进集团.南京江宁博爱医院,1
root-kepler186f.江苏盛世同进集团.南京市江宁区众彩门诊部,1
root-kepler186f.江苏盛世同进集团.南京世纪现代妇产医院（南院、东院）,1
root-kepler186f.詹氏医疗集团,
root-kepler186f.詹氏医疗集团.新加坡中骏医院（投资）集团,1
root-kepler186f.詹氏医疗集团.上海中骏医学科学研究所,1
root-kepler186f.詹氏医疗集团.上海澳信医院管理公司,1
root-kepler186f.詹氏医疗集团.上海澳信实业有限公司,1
root-kepler186f.詹氏医疗集团.厦门奥琪进出口贸易有限公司,1
root-kepler186f.詹氏医疗集团.厦门福鹏山生态园,1
root-kepler186f.詹氏医疗集团.厦门中屿基地工程有限公司,1
root-kepler186f.詹氏医疗集团.福建莆田水利工程有限公司,1
root-kepler186f.詹氏医疗集团.福建奥琪汽车贸易公司,1
root-kepler186f.詹氏医疗集团.福州通产光电技术有限公司,1
root-kepler186f.詹氏医疗集团.北京品康科技发展有限公司,1
root-kepler186f.詹氏医疗集团.上海拓能医疗器械有限公司重庆兴渝药业有限公司,1
root-kepler186f.詹氏医疗集团.山东中骏医院管理公司,1
root-kepler186f.詹氏医疗集团.重庆华山医院管理有限公司,1
root-kepler186f.詹氏医疗集团.京品康医院管理有限公司,1
root-kepler186f.詹氏医疗集团.天津华山医院,1
root-kepler186f.詹氏医疗集团.上海博爱医院,1
root-kepler186f.詹氏医疗集团.上海真爱女子医院,1
root-kepler186f.詹氏医疗集团.江苏施尔美整形美容医院,1
root-kepler186f.詹氏医疗集团.泉州南亚医院黑龙江和平医院,1
root-kepler186f.詹氏医疗集团.福州鼓楼医院,1
root-kepler186f.詹氏医疗集团.深圳福华中西医结合医院,1
root-kepler186f.詹氏医疗集团.长春同济医院,1
root-kepler186f.詹氏医疗集团.云南,1
root-kepler186f.詹氏医疗集团.中骏医学科学研究所,1
root-kepler186f.詹氏医疗集团.珠海惠爱医院,1
root-kepler186f.詹氏医疗集团.沈阳北陵医院,1
root-kepler186f.詹氏医疗集团.青岛长征院,1
root-kepler186f.詹氏医疗集团.成都长征医院,1
root-kepler186f.江苏大友投资集团,
root-kepler186f.江苏大友投资集团.上海嘉华医院,1
root-kepler186f.江苏大友投资集团.江阴红房子医院,1
root-kepler186f.江苏大友投资集团.武进红房子医院,1
root-kepler186f.江苏大友投资集团.烟台丽华妇科医院,1
root-kepler186f.江苏大友投资集团.扬州仁爱医院,1
root-kepler186f.江苏大友投资集团.江阴朝阳男科医院,1
root-kepler186f.江苏大友投资集团.青岛开发区友爱医院,1
root-kepler186f.江苏大友投资集团.胶南丽华医院,1
root-kepler186f.江苏大友投资集团.玉溪民康医院,1
root-kepler186f.上海杰韦克医疗投资公司,
root-kepler186f.上海杰韦克医疗投资公司.潍坊博爱医院,1
